url,title,price,base_info,table_contents
https://www.gap-banknoten.de/detail/index/sArticle/108606/sCategory/230,"Schönau i.W., Stadt, 5 Mrd, 1.11.23, Lit D, Rs. Stpl.","30,00 € *",Artikel-Nr.:bad_1923_5017.a_5Mrd_I-Katalog-Nr.:1923_5017.a_5MrdErhaltung:I-,Erhaltung:I-Wert:5 MrdProvinz:BadenPeriode:Hochinflation 1923Ort:Schönau i.W.
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/53013/katernberg-gewerkschaft-zollverein-10-t-aug.-23?c=230,"Katernberg, Gewerkschaft ""Zollverein"", 10 T, Aug. 23","45,00 € *",Artikel-Nr.:rhl_1923_2588.a_10T_IKatalog-Nr.:1923_2588.a_10TErhaltung:I,Erhaltung:IWert:10 TPeriode:Hochinflation 1923Provinz:RheinlandOrt:Katernberg
https://www.gap-banknoten.de/detail/index/sArticle/135864/sCategory/230,"Frankfurt am Main, Peters Union, 1 Mio, 20.8.23, Wz Bandwerk","20,00 € *",Artikel-Nr.:hes_1923_1553.a_1Mio_I-Katalog-Nr.:1923_1553.a_1MioErhaltung:I-,Erhaltung:I-Wert:1 MioPeriode:Hochinflation 1923Provinz:HessenOrt:Frankfurt am Main
https://www.gap-banknoten.de/detail/index/sArticle/145395/sCategory/230,"Witzenhausen, Kreis, 1 Mrd, 23.10.23, KaPap","80,00 € *",Artikel-Nr.:hes_1923_5686.a_1Mrd_I-Katalog-Nr.:1923_5686.a_1MrdErhaltung:I-,Erhaltung:I-Wert:1 MrdPeriode:Hochinflation 1923Provinz:HessenOrt:Witzenhausen
https://www.gap-banknoten.de/detail/index/sArticle/108403/sCategory/230,"Gengenbach, Stadtgemeinde, 1 Mrd, 27.10.23","25,00 € *",Artikel-Nr.:bad_1923_1717.c_1Mrd_IIIKatalog-Nr.:1923_1717.c_1MrdErhaltung:III,Erhaltung:IIIWert:1 MrdProvinz:BadenPeriode:Hochinflation 1923Ort:Gengenbach
https://www.gap-banknoten.de/detail/index/sArticle/115113/sCategory/230,"Rüdesheim, Rheingaukreis, 500 T, 2.8.23, Druck schwarz","35,00 € *",Artikel-Nr.:hes_1923_4556.d_500T_II-Katalog-Nr.:1923_4556.d_500TErhaltung:II-,Erhaltung:II-Wert:500 TPeriode:Hochinflation 1923Provinz:HessenOrt:Rüdesheim
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/54635/burgstaedt-spar-kredit-und-bezugsverein-500-mio-5.10.23?c=230,"Burgstädt, Spar- Kredit- und Bezugsverein, 500 Mio, 5.10.23","20,00 € *",Artikel-Nr.:sac_1923_0686.b_500Mio_III-Katalog-Nr.:1923_0686.b_500MioErhaltung:III-,Erhaltung:III-Wert:500 MioProvinz:SachsenPeriode:Hochinflation 1923Ort:Burgstädt
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/56831/breslau-reichsbahndirektion-50-mrd-wz-ringel-udr.-violett?c=230,"Breslau, Reichsbahndirektion, 50 Mrd, Wz Ringel, Udr. violett","12,00 € *",Artikel-Nr.:sln_1923_0003.12b_50Mrd_IIIKatalog-Nr.:1923_0003.12b_50MrdErhaltung:III,Erhaltung:IIIWert:50 MrdPeriode:Hochinflation 1923Provinz:SchlesienOrt:Breslau
https://www.gap-banknoten.de/detail/index/sArticle/135862/sCategory/230,"Frankfurt am Main, Reichsbahndirektion, 500 Mrd, 22.10.23, № KN 6*s 4 mm","7,00 € *",Artikel-Nr.:hes_1923_0008.13a_500Mrd_IIIKatalog-Nr.:1923_0008.13a_500MrdErhaltung:III,Erhaltung:IIIWert:500 MrdPeriode:Hochinflation 1923Provinz:HessenOrt:Frankfurt am Main
https://www.gap-banknoten.de/detail/index/sArticle/135951/sCategory/230,"Crefeld, A. Schaaffhausen'scher Bankverein, 5 Mio, 10.8.23","28,00 € *",Artikel-Nr.:rhl_1923_0923.e_5Mio_IIIKatalog-Nr.:1923_0923.e_5MioErhaltung:III,Erhaltung:IIIWert:5 MioPeriode:Hochinflation 1923Provinz:RheinlandOrt:Crefeld
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/98120/sterkrade-stadt-100-mio-20.8.23-s-ohne-kn?c=230,"Sterkrade, Stadt, 100 Mio, 20.8.23, S ohne KN","35,00 € *",Artikel-Nr.:rhl_1923_4879.b_100Mio_I-Katalog-Nr.:1923_4879.b_100MioErhaltung:I-,Erhaltung:I-Wert:100 MioPeriode:Hochinflation 1923Provinz:RheinlandOrt:Sterkrade
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/82964/wilthen-gewerbebank-zu-neugersdorf-1-mio-25.8.23-kn-4-8-mm-hoch?c=230,"Wilthen, Gewerbebank zu Neugersdorf, 1 Mio, 25.8.23, KN 4,8 mm hoch","75,00 € *",Artikel-Nr.:sac_1923_5641.a1_1Mio_II-Katalog-Nr.:1923_5641.a1_1MioErhaltung:II-,Wert:1 MioErhaltung:II-Provinz:SachsenPeriode:Hochinflation 1923Ort:Wilthen
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/54761/chemnitz-deutsche-bank-20-mio-22.9.23-wie-vor-doch-fus-polster-ahnert?c=230,"Chemnitz, Deutsche Bank, 20 Mio, 22.9.23, wie vor, doch FUS Polster-Ahnert","6,00 € *",Artikel-Nr.:sac_1923_0749.ee_20Mio_IIKatalog-Nr.:1923_0749.ee_20MioErhaltung:II,Erhaltung:IIWert:20 MioProvinz:SachsenPeriode:Hochinflation 1923Ort:Chemnitz
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/54518/baerenstein-gemeindekasse-1-mio-16.8.23-t-1.000.000-o.-wz.?c=230,"Bärenstein, Gemeindekasse, 1 Mio, 16.8.23, T, ""1.000.000"", o. Wz.","90,00 € *",Artikel-Nr.:sac_1923_0213.c_1Mio_IIIKatalog-Nr.:1923_0213.c_1MioErhaltung:III,Erhaltung:IIIWert:1 MioProvinz:SachsenPeriode:Hochinflation 1923Ort:Bärenstein
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/82924/mittelfrohna-gemeindekasse-100-mio-25.10.23?c=230,"Mittelfrohna, Gemeindekasse, 100 Mio, 25.10.23","18,00 € *",Artikel-Nr.:sac_1923_3577.b_100Mio_IIIKatalog-Nr.:1923_3577.b_100MioErhaltung:III,Erhaltung:IIIWert:100 MioProvinz:SachsenPeriode:Hochinflation 1923Ort:Mittelfrohna
https://www.gap-banknoten.de/detail/index/sArticle/119836/sCategory/230,"Bublitz, Stadt, 25 Mrd, 26.10.23","40,00 € *",Artikel-Nr.:pom_1923_0643_25Mrd_IIIKatalog-Nr.:1923_0643_25MrdErhaltung:III,Erhaltung:IIIPeriode:Hochinflation 1923Provinz:PommernWert:25 MrdOrt:Bublitz
https://www.gap-banknoten.de/detail/index/sArticle/108530/sCategory/230,"Murg, Gemeinde, 100 Mrd, 2.11.23, St. blau unscharf","35,00 € *",Artikel-Nr.:bad_1923_3696_100Mrd_IIIKatalog-Nr.:1923_3696_100MrdErhaltung:III,Erhaltung:IIIWert:100 MrdProvinz:BadenPeriode:Hochinflation 1923Ort:Murg
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/82039/aachen-mannesmann-mulag-500-t-14.8.23-unentwertet?c=230,"Aachen, Mannesmann-Mulag, 500 T, 14.8.23, Unentwertet","90,00 € *",Artikel-Nr.:rhl_1923_0004_500T_IIKatalog-Nr.:1923_0004_500TErhaltung:II,Erhaltung:IIWert:500 TPeriode:Hochinflation 1923Provinz:RheinlandOrt:Aachen
https://www.gap-banknoten.de/detail/index/sArticle/143903/sCategory/230,"Freienwalde, Städtische Sparkasse, 2 Mio, 16.8.23","70,00 € *",Artikel-Nr.:pom_1923_1599.e_2Mio_IVKatalog-Nr.:1923_1599.e_2MioErhaltung:IV,Wert:2 MioErhaltung:IVPeriode:Hochinflation 1923Provinz:PommernOrt:Freienwalde
